爪女 妥
爫女 妥
女方 妨
女尼 妮
人尔 你
亻尔 你
女未 妹
一聿女 妻
一肀女 妻
女母 姆
女台 始
女且 姐
女古 姑
女生 姓
禾女 委
女兆 姚
羊女 姜
女老 姥
女干 奸
女夷 姨
女匸丨口丨 姬
女因 姻
次女 姿
戊一女 威
女圭 娃
女土土 娃
女良 娘
女吴 娱
女那 娜
女肙 娟
女口月 娟
女辰 娠
女我 娥
女免 娩
女吴 娱
取女 娶
米女 娄
波女 婆
女宛 婉
女昏 婚
女彐 妇
林女 婪
木木女 婪
女胥 婿
女某 媒
女眉 媚
女息 媳
女马 妈
女家 嫁
女叟 嫂
女疾 嫉
女兼 嫌
女啇 嫡
女敕 嫩
女乔 娇
女良 娘
贝贝女 婴
女审 婶
女良 娘
了一 子
子乙 孔
乃子 孕
宀子 字
一人子 存
一亻子 存
子攴 孜
子攵 孜
老子 孝
耂子 孝
子皿 孟
禾子 季
子瓜 孤
子亥 孩
子小 孙
享丸 孰
卵孚 孵
小冖子 学
子需 孺
薛子 孽
亦子 孪
宀匕 它
宀乇 宅
宀于 宇
宀寸 守
宀女 安
宀木 宋
宀元 完
宀厷 宏
宀示 宗
宀由 宙
宀疋 定
宀夗 宛
宀且 宜
宀头 实
宀各 客
宀亘 宣
宀至 室
宀臣 宦
宀吕 宫
宀口口 宫
宀辛 宰
宀丰口 害
宀妟 宴
宀肖 宵
宀豕 家
宀谷 容
宀人百 宿
宀亻百 宿
宀叔 寂
宀奇 寄
宀一由八 寅
宀必山 密
宓山 密
宀元攴 寇
宀畐 富
宀爿未 寐
宀井大冰 寒
宀井大冫 寒
宀禺 寓
宀草见 宽
宀艸见 宽
宀艹见 宽
宀丁 宁
宀莫 寞
宀祭 察
宀直分 寡
宀丬彐冖又 寝
宀翏 寥
宀头 实
宀丁 宁
宀一共木 寨
宀井大木 寨
宀申 审
冖与 写
宀草见 宽
宀艸见 宽
宀艹见 宽
宀玉 宝
宀龙 宠
宀玉 宝
一亅丶 寸
土寸 寺
又寸 对
土土寸 封
圭寸 封
二丨 专
身寸 射
爿肉寸將 将
丬夕寸 将
二丨 专
尸示寸 尉
酋寸 尊
彐寸 寻
又寸 对
巳寸 导
八亅 小
小丿 少
小大 尖
小冋 尚
小冂口 尚
小冂口 尚
尢丶 尤
一丿乚丶 尤
京尤 就
一丿 尸
尸一 尹
彐丿 尹
尸乀 尺
尸匕 尼
尸毛 尾
尸水 尿
尸比 屁
尸古 居
尸由 届
尸出 屈
尸至 屋
一丿 尸
尸米 屎
尸并 屏
尸肖 屑
尸并 屏
尸世 屉
尸者 屠
尸娄 屡
尸云 层
尸復 履
尸禹 属
丿凵乚 屯
凵丨 山
山乞 屹
分山 岔
冂乂 冈
山石 岩
丘山 岳
山厈 岸
山寺 峙
山我 峨
山我 峨
山谷 峪
山肖 峭
山夆 峰
勹丶勹山 岛
山夋 峻
山夹 峡
山宗 崇
山奇 崎
日比 昆
山隹 崔
山厓 崖
山冈 岗
人匕 仑
山朋 崩
山甘欠 嵌
山斩 崭
山令 岭
山与 屿
丘山 岳
山归 岿
山石 岩
山魏 巍
亦山 峦
丿丨丨 川
川丶丶丶 州
辵巛 巡
辶巛 巡
巛果 巢
巛果 巢
二丨 工
一丨一 工
一丿工 左
工丂 巧
工万 巧
匚乛一 巨
工人人 巫
羊丿工 差
一乚 己
一乚 已
一乚 巳
巳丨 巴
巳丶 巴
共己 巷
夫八卩 卷
冂丨 巾
亠巾 市
一丿巾 布
巾凡 帆
乂布 希
乂一丿巾 希
巾白 帕
巾占 帖
奴巾 帘
彐冖巾 帚
白巾 帛
亠丷冖巾 帝
丨丿巾 帅
丨丿帀 师
广廿巾 席
巾长 帐
卅冖巾 带
尚巾 常
巾冒 帽
巾贞 帧
巾畐 幅
邦巾 帮
巾晃 幌
莫巾 幕
巾只 帜
巾童 幢
丿巾 币
一巾 币
邦巾 帮
一十 干
二丨 干
干丷 平
丿丰丶 年
丿一二丶丨 年
土丷干 幸
土羊 幸
一十 干
幺力 幼
山幺幺 幽
丿一乚 几
厂丁 厅
丶一丿 广
广比 庇
广木 床
广予 序
广氐 底
广占 店
广彐人 庚
广肀人 庚
广付 府
广廿又 度
广坐 座
广车 库
广廷 庭
广廿火 庶
广廿灬 庶
广隶 康
广聿冃 庸
广聿冂二 庸
广肀冂二 庸
广用冂二 庸
厂则 厕
厂相廂 厢
广发 废
厂既 厩
厂夏 厦
广兼 廉
广郎 廊
广郭 廓
广翏 廖
厂豆寸 厨
广朝廟 庙
广由廟 庙
一丿 厂
广发 废
丶一丿 广
广户 庐
厂丁 厅
厂丁 厅
廴丿止 延
廴壬 廷
廴聿 建
王廾 弄
敝廾 弊
弋工 式
口巾 吊
弓丨 引
弓丿丨 弗
弓厶 弘
弓也 弛
丷弔丿 弟
丷弓丨丿 弟
弓玄 弦
弓瓜 弧
弓冰弓冰 弱
弓冫弓冫 弱
弓长 张
弓虽 强
弓单 弹
另刀 别
另刂 别
弓单 弹
弓尔 弥
亦弓 弯
彐水 录
水匚 汇
氵匚 汇
彑米糸廾 彝
开彡 形
丹彡 彤
亠丷厂彡 彦
采彡 彩
虎彡 彪
周隹 雕
林彡 彬
壴彡 彭
章彡 彰
景彡 影
人方 仿
亻方 仿
彳殳 役
彳皮 彼
彳主 往
彳正 征
彳寺 待
彳艮 很
彳回 徊
彳聿 律
厂一口 后
彳余 徐
彳圣 径
彳走 徒
人人 从
彳日一寸 得
彳非 徘
人人 从
彳卸 御
丿一日夕 复
丿一日夂 复
彳盾 循
彳山兀攴 微
彳山兀攵 微
彳十网一心 德
彳十罒一心 德
彳正 征
彳十网一心 德
彳十罒一心 德
彳切 彻
彳山糸攴 徽
彳山糸攵 徽
丿乚丶丶 心
心丿 必
己心 忌
刃心 忍
士心 志
亡心 忘
心亡 忙
忄亡 忙
广小一 应
中心 忠
心夬 快
忄夬 快
心冘 忱
忄冘 忱
今心 念
心斤 忻
忄斤 忻
勿心 忽
分心 忿
乍心 怎
奴心 怒
心正 怔
忄正 怔
心白 怕
忄白 怕
心布 怖
忄布 怖
田心 思
台心 怠
刍心 急
心生 性
忄生 性
夗心 怨
夕卩心 怨
心圣 怪
忄圣 怪
心去 怯
忄去 怯
心寺 恃
忄寺 恃
心亘 恒
忄亘 恒
心光 恍
忄光 恍
巩心 恐
工凡心 恐
女口心 恕
心灰 恢
忄灰 恢
心血 恤
忄血 恤
耳止 耻
心艮 恨
忄艮 恨
因心 恩
心同 恫
忄同 恫
心舌 恬
忄舌 恬
共心 恭
共小丶 恭
自心 息
心合 恰
忄合 恰
叀心 惠
心肖 悄
忄肖 悄
心兑 悦
忄兑 悦
采心 悉
釆心 悉
心旱 悍
忄旱 悍
心每 悔
忄每 悔
心吾 悟
忄吾 悟
攸心 悠
串心 患
你心 您
心亠乂凵 恼
忄亠乂凵 恼
亚心 恶
非心 悲
门心 闷
心季 悸
忄季 悸
心卓 悼
忄卓 悼
心青 情
忄青 情
心宛 惋
忄宛 惋
或心 惑
心易 惕
忄易 惕
心昔 惜
忄昔 惜
心隹 惟
忄隹 惟
叀心 惠
一由厶心 惠
亚心 恶
心店 惦
忄店 惦
心左肉 惰
忄左月 惰
心亠乂凵 恼
忄亠乂凵 恼
相心 想
心皇 惶
忄皇 惶
若心 惹
心星 惺
忄星 惺
秋心 愁
俞心 愈
心俞 愉
忄俞 愉
音心 意
禺心 愚
爪冖友 爱
爫冖友 爱
咸心 感
心鬼 愧
忄鬼 愧
心真 慎
忄真 慎
甬心 恿
西木 栗
茲心 慈
太心 态
心荒 慌
忄荒 慌
心真 慎
忄真 慎
莫心 慕
莫小丶 慕
心参 惨
忄参 惨
心斩 惭
忄斩 惭
心曼 慢
忄曼 慢
心贯 惯
忄贯 惯
彗心 慧
心既 慨
忄既 慨
从心 怂
虎心 虑
虍心 虑
尉心 慰
广大 庆
心康 慷
忄康 慷
谷欠 欲
心尤 忧
忄尤 忧
备心 惫
敝心 憋
心曽 憎
忄曽 憎
心曾 憎
忄曾 憎
心令 怜
忄令 怜
任几 凭
心单 惮
忄单 惮
心贲 愤
忄贲 愤
心十艹贝 愤
敢心 憨
心闵 悯
忄闵 悯
宀先 宪
心乙 忆
忄乙 忆
心感 憾
忄感 憾
心董 懂
忄董 懂
艮心 恳
心解 懈
忄解 懈
广小一 应
心奥 懊
心不 怀
忄不 怀
心需 懦
忄需 懦
征心 惩
心赖 懒
忄赖 懒
心不 怀
忄不 怀
县心 悬
心具 惧
忄具 惧
心聂 慑
忄聂 慑
亦心 恋
一乁丿丶 戈
丿戈 戊
戊一 戌
戊丶 戍
十戈 戎
一十戈 戎
手戈 我
扌戈 我
才戈 我
廾戈 戒
口一戈 或
厂上小戈 戚
丿上小戈 戚
占戈 战
十戈隹 截
土戈隹 截
翏戈 戮
占戈 战
又戈 戏
翟戈 戳
羽隹戈 戳
十戈異 戴
土戈異 戴
丶尸 户
戶方 房
户方 房
戸方 房
戶斤 所
户斤 所
戸斤 所
戶冊 扁
户冊 扁
戸冊 扁
戶羽 扇
户羽 扇
戸羽 扇
丿二亅 手
一亅丿 才
手乚 扎
扌乚 扎
才乚 扎
手八 扒
扌八 扒
才八 扒
手丁 打
扌丁 打
才丁 打
手乃 扔
扌乃 扔
才乃 扔
手弗 拂
扌弗 拂
才弗 拂
手乇 托
扌乇 托
才乇 托
手工 扛
扌工 扛
才工 扛
手口 扣
扌口 扣
才口 扣
手千 扦
扌千 扦
才千 扦
手丑 扭
扌丑 扭
才丑 扭
手分 扮
扌分 扮
手止 扯
扌止 扯
才止 扯
手反 扳
扌反 扳
手夫 扶
扌夫 扶
才夫 扶
手比 批
扌比 批
才比 批
手厄 扼
扌厄 扼
才厄 扼
手戈 找
扌戈 找
才戈 找
氶三 承
手支 技
扌支 技
才支 技
手少 抄
扌少 抄
才少 抄
手夬 抉
扌夬 抉
才夬 抉
手巴 把
扌巴 把
手卬 抑
扌卬 抑
才卬 抑
手予 抒
扌予 抒
才予 抒
手爪 抓
扌爪 抓
才爪 抓
手殳 投
扌殳 投
才殳 投
手斗 抖
扌斗 抖
才斗 抖
手亢 抗
扌亢 抗
才亢 抗
手斤 折
扌斤 折
才斤 折
手又二丨 择
扌又二丨 择
才又二丨 择
手平 抨
扌平 抨
才平 抨
手皮 披
扌皮 披
才皮 披
手台 抬
扌台 抬
才台 抬
手包 抱
扌包 抱
手氐 抵
扌氐 抵
才氐 抵
手氏丶 抵
手末 抹
扌末 抹
才末 抹
手甲 押
扌甲 押
才甲 押
手由 抽
扌由 抽
才由 抽
手民 抿
扌民 抿
才民 抿
手弗 拂
扌弗 拂
才弗 拂
手主 拄
扌主 拄
才主 拄
手斥 拆
扌斥 拆
才斥 拆
手母 拇
扌母 拇
才母 拇
手占 拈
扌占 拈
才占 拈
手立 拉
扌立 拉
才立 拉
手尢力拋 抛
扌尢力拋 抛
才尢力拋 抛
手半 拌
扌半 拌
手白 拍
扌白 拍
才白 拍
手令 拎
扌令 拎
才令 拎
手口刀 拐
扌口刀 拐
才口刀 拐
手另 拐
手巨 拒
扌巨 拒
才巨 拒
手石 拓
扌石 拓
才石 拓
手犮 拔
扌犮 拔
才犮 拔
手丿一也 拖
扌丿一也 拖
才丿一也 拖
手句 拘
扌句 拘
才句 拘
手出 拙
扌出 拙
才出 拙
手召 招
扌召 招
才召 招
手手 拜
手手 拜
手广 扩
扌广 扩
才广 扩
手舌 括
扌舌 括
才舌 括
手式 拭
扌式 拭
才式 拭
手丞 拯
扌丞 拯
才丞 拯
手共 拱
扌共 拱
才共 拱
丷夫手 拳
手全 拴
扌全 拴
才全 拴
手考 拷
扌考 拷
才考 拷
手并 拼
扌并 拼
才并 拼
手曳 拽
扌曳 拽
才曳 拽
手合 拾
扌合 拾
才合 拾
合手 拿
手寺 持
扌寺 持
才寺 持
手旨 指
扌旨 指
才旨 指
手安 按
扌安 按
才安 按
手夸 挎
扌夸 挎
才夸 挎
手兆 挑
扌兆 挑
才兆 挑
手穵 挖
扌穵 挖
才穵 挖
手穴乙 挖
手矣 挨
扌矣 挨
才矣 挨
手那 挪
扌那 挪
才那 挪
手坐 挫
扌坐 挫
才坐 挫
手辰 振
扌辰 振
才辰 振
手廷 挺
扌廷 挺
才廷 挺
手免 挽
扌免 挽
才免 挽
手夹 挟
